"id","full_name","created_at","description","language","issue_tmp_adoption_time","issue_tmp_adoption_sha","pr_tmp_adoption_time","pr_tmp_adoption_sha"
"313419","SDWebImage/SDWebImage","2009-09-21T17:39:19Z","Asynchronous image downloader with cache support as a UIImageView category","Objective-C","2016-05-29T02:46:40Z","1f165b48ee6a4411841383391a89cfcb90da4669","2016-05-29T02:46:40Z","1f165b48ee6a4411841383391a89cfcb90da4669"
"401025","github/hub","2009-12-05T22:15:25Z","A command-line tool that makes git easier to use with GitHub.","Go","2019-11-12T18:50:40Z","342ac775b1f6e517ac6c7e9d92d41c950ab2e223","",""
"402046","MrRio/jsPDF","2009-12-06T14:56:32Z","Client-side JavaScript PDF generation for everyone.","JavaScript","2016-03-01T18:59:34Z","6978fe3ef6dee9285eba115f3d5f3d48d18bcebe","",""
"441269","jashkenas/coffeescript","2009-12-18T01:39:53Z","Unfancy JavaScript","CoffeeScript","2018-02-27T09:50:14Z","23479eb486043a053cce8c4b8100c3c92022b1ea","2018-02-27T09:50:25Z","b2fe7772c58753248b0761d4298d4454fab9d01c"
"448045","sebastianbergmann/phpunit","2009-12-24T13:16:23Z","The PHP Unit Testing framework.","PHP","2017-03-02T09:34:36Z","3f5c0f23ad861262bc4c8f79aa6dba3750214808","2019-09-08T17:35:11Z","9b0112a0b7e06a7fe245842e189f8869c1214c9d"
"455600","facebook/hhvm","2010-01-02T01:17:06Z","A virtual machine for executing programs written in Hack.","C++","2020-01-22T04:42:50Z","d72121e01bf3a7e4561fa3e04c0c2283cc02e6cd","",""
"458058","symfony/symfony","2010-01-04T14:21:21Z","The Symfony PHP framework","PHP","2016-12-13T10:28:04Z","eeaca5c96b72bafa6da2b239c16693e702fce503","2016-02-18T15:17:38Z","ac8f8f8964a06ee65079a1c3e7ea8b873c43e6b1"
"460078","angular/angular.js","2010-01-06T00:34:37Z","AngularJS - HTML enhanced for web apps!","JavaScript","2016-02-23T06:19:45Z","3c86212710472075fd8239b36a041bf46758dc67","2016-02-23T06:19:45Z","3c86212710472075fd8239b36a041bf46758dc67"
"478584","jsdom/jsdom","2010-01-19T06:55:19Z","A JavaScript implementation of various web standards, for use with Node.js","JavaScript","2017-04-25T22:17:42Z","b2bfc3d056a5af1f8305720abd70cb1a218a9509","",""
"481872","hashicorp/vagrant","2010-01-21T08:34:27Z","Vagrant is a tool for building and distributing development environments.","Ruby","2016-02-17T18:24:49Z","0e46617bec585169c50223bb599278ba93dba8b6","",""
"486550","h5bp/html5-boilerplate","2010-01-24T18:03:24Z","A professional front-end template for building fast, robust, and adaptable web apps or sites.","JavaScript","2017-06-08T02:14:59Z","907918637c1dde59d5eea81326c6c6620b4f9f29","2017-06-08T02:14:59Z","907918637c1dde59d5eea81326c6c6620b4f9f29"
"507775","elastic/elasticsearch","2010-02-08T13:20:56Z","Open Source, Distributed, RESTful Search Engine","Java","2016-02-22T23:05:36Z","79da609439d2e33028eb9e6fe323c477a4eafe23","2016-04-28T01:02:07Z","cabef54df853cf7d0c8657a89c55c785fa31e858"
"519832","mitmproxy/mitmproxy","2010-02-16T04:10:13Z","An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.","Python","2016-02-17T20:10:48Z","09abd7eb9a6dc10bbe71ca87e9da07dbe9b3ba54","2020-07-01T17:47:54Z","540c29374103f2c5ff0d0970adc8f66b69482004"
"529502","scrapy/scrapy","2010-02-22T02:01:14Z","Scrapy, a fast high-level web crawling & scraping framework for Python.","Python","2019-08-26T15:35:44Z","3abe7e6e6da38b1586b720749f53955b8d00390e","",""
"557980","socketio/socket.io","2010-03-11T18:24:48Z","Realtime application framework (Node.JS server)","JavaScript","2016-10-22T15:19:08Z","8182ecc61cf6877840033eec766579501016bf32","2016-10-22T15:19:08Z","8182ecc61cf6877840033eec766579501016bf32"
"569041","curl/curl","2010-03-18T22:32:22Z","A command line tool and library for transferring data with URL syntax, supporting HTTP, HTTPS, FTP, FTPS, GOPHER, TFTP, SCP, SFTP, SMB, TELNET, DICT, LDAP, LDAPS, MQTT, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features","C","2016-02-18T10:55:59Z","b7cd7aabd4e297f28fc459818c9f5be8a2ef46f9","",""
"571770","jgm/pandoc","2010-03-20T20:34:23Z","Universal markup converter","Haskell","2017-03-13T21:34:00Z","8b6a974f593e233cdd8ea5ecf0d8ed0624b2abbb","",""
"576201","mrdoob/three.js","2010-03-23T18:58:01Z","JavaScript 3D library.","JavaScript","2016-03-07T17:51:12Z","967dc505dd2f24fbac3c97fbedc97a5853151c7b","2020-09-21T12:49:35Z","ab203b2f48b66ccfc6d645c342e3e424d41f4371"
"596892","pallets/flask","2010-04-06T11:11:59Z","The Python micro framework for building web applications.","Python","2016-06-02T19:19:29Z","14e4207397adeb09a14831bd01c21508c9ef4840","2017-05-29T01:26:07Z","3c7625e8c0243fc7777031253e081b7140f57604"
"597879","Automattic/mongoose","2010-04-06T21:39:05Z","MongoDB object modeling designed to work in an asynchronous environment.","JavaScript","2016-12-15T00:56:39Z","5b552bf74e58f44c918c9a327deda0fde82721de","2016-12-15T00:56:39Z","5b552bf74e58f44c918c9a327deda0fde82721de"
"612230","nvm-sh/nvm","2010-04-15T17:47:47Z","Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions","Shell","2016-12-26T02:46:49Z","71b49f17444a2262a1d4d4f819f3b0dc692ca317","",""
"658518","ipython/ipython","2010-05-10T04:46:06Z","Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.","Python","2020-09-20T03:30:51Z","59cbf86e9790eab46d8e3780724cecec42b80fe8","",""
"667006","videojs/video.js","2010-05-14T18:45:10Z","Video.js - open source HTML5 & Flash video player","JavaScript","2016-02-18T22:19:55Z","050f23d913e3b7a98d1a426828c428bcf76c4bcf","2016-02-19T06:19:55Z","050f23d913e3b7a98d1a426828c428bcf76c4bcf"
"698041","caolan/async","2010-06-01T21:01:30Z","Async utilities for node and the browser","JavaScript","2016-05-20T02:11:38Z","9aa67aa804133087524a106b43d4834539e1e5ed","",""
"712530","fabricjs/fabric.js","2010-06-09T22:24:38Z","Javascript Canvas Library, SVG-to-Canvas (& canvas-to-SVG) Parser","JavaScript","2016-02-18T18:58:45Z","b2b19fc93574a222e536530bff985fbfbb51d0a4","",""
"724712","rust-lang/rust","2010-06-16T20:39:03Z","Empowering everyone to build reliable and efficient software.","Rust","2020-01-22T01:33:46Z","49d78fcd901700c5a14e19a6679db1646b5ca901","",""
"734934","pugjs/pug","2010-06-23T01:05:42Z","Pug – robust, elegant, feature rich template engine for Node.js","JavaScript","2017-06-20T06:31:16Z","cf436ab808369a30973b425aafd55af872b31744","",""
"790359","sequelize/sequelize","2010-07-22T07:11:11Z","An easy-to-use multi SQL dialect ORM for Node.js","JavaScript","2016-03-30T16:29:25Z","b33fba3f107bcb1048285a84f76918d5db5c2a76","2016-03-31T00:29:25Z","b33fba3f107bcb1048285a84f76918d5db5c2a76"
"843222","scikit-learn/scikit-learn","2010-08-17T09:43:38Z","scikit-learn: machine learning in Python","Python","2016-02-29T17:02:09Z","f0f0affee6534a53f28319dbe22e67efd345282d","2016-03-01T01:02:09Z","f0f0affee6534a53f28319dbe22e67efd345282d"
"858127","pandas-dev/pandas","2010-08-24T01:37:33Z","Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more","Python","2016-02-18T01:49:29Z","7e9ddec8e9a6400aa5bc26dbd2df2d22ea0ead97","2016-02-18T10:30:28Z","951c6a5859a83c7eab5b0d72556dac9555245b0c"
"873328","getsentry/sentry","2010-08-30T22:06:41Z","Sentry is cross-platform application monitoring, with a focus on error reporting.","Python","2016-11-27T21:48:12Z","23616aac0fb20205b6584467a52747fadb62be54","",""
"892275","square/retrofit","2010-09-06T21:39:43Z","A type-safe HTTP client for Android and the JVM","Java","2016-02-22T03:05:18Z","d6cd2f42d5a48281f7e1346b1c52e1285e80e316","",""
"908607","numpy/numpy","2010-09-13T23:02:39Z","The fundamental package for scientific computing with Python.","Python","2018-07-05T18:59:20Z","d7c992445eb69867b3bd3180810a6106a6cbf748","2018-07-06T02:59:20Z","d7c992445eb69867b3bd3180810a6106a6cbf748"
"931135","Leaflet/Leaflet","2010-09-22T16:57:44Z"," :leaves: JavaScript library for mobile-friendly interactive maps","JavaScript","2016-09-27T09:54:50Z","79778ebbac4dd910e60a1a63803ea699712ec0be","",""
"943149","d3/d3","2010-09-27T17:22:42Z","Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:","JavaScript","2016-10-08T00:09:57Z","b35588e572b5cf475d6bd3e3b77c929a38977c74","",""
"958314","remy/nodemon","2010-10-03T12:50:52Z","Monitor for any changes in your node.js application and automatically restart the server - perfect for development","JavaScript","2017-12-05T21:08:53Z","17ad4b9f1adcb6578236299dc0de0a1bb2bbab04","",""
"965782","validatorjs/validator.js","2010-10-06T06:58:48Z","String validation","JavaScript","2020-05-30T16:07:11Z","3223f589b5db4be94cfd936148e3eb19b3d826a5","2020-05-30T15:50:02Z","c904e11fdd71d0d2fc07fe1effb66a219851941e"
"1028340","ajaxorg/ace","2010-10-27T10:43:36Z","Ace (Ajax.org Cloud9 Editor)","JavaScript","","","2018-06-22T02:59:40Z","a6b3de2175824758fef25b389bb65c9dd013acc1"
"1039520","ytdl-org/youtube-dl","2010-10-31T14:35:07Z","Command-line program to download videos from YouTube.com and other video sites","Python","2019-04-27T05:50:47Z","6f366ef30ce1432cca58605d1b1533c3e9f8fb0b","2016-07-03T12:31:49Z","1f552340574d2702fd0a80880aa6def1764f124a"
"1064563","netty/netty","2010-11-09T09:22:21Z","Netty project - an event-driven asynchronous network application framework","Java","2016-12-08T03:40:26Z","3539ba6f08a6c832dc9048cf5d6a6c71d6513708","2016-12-08T03:40:26Z","3539ba6f08a6c832dc9048cf5d6a6c71d6513708"
"1093228","cocos2d/cocos2d-x","2010-11-18T23:17:00Z","Cocos2d-x is a suite of open-source, cross-platform, game-development tools used by millions of developers all over the world.","C++","2016-07-25T15:58:04Z","8c537ed209be1f8880311edbe5d0a3608a20cc49","",""
"1103607","jenkinsci/jenkins","2010-11-22T21:21:23Z","Jenkins automation server","Java","","","2017-03-10T22:36:05Z","6e39dd35bdbb2633e0fe513052c8cf23b403179f"
"1148753","spring-projects/spring-framework","2010-12-08T04:04:45Z","Spring Framework","Java","2019-01-14T14:40:51Z","66359e2e9e58f9b0fecba459e05fbe887f1a55d8","",""
"1181927","bitcoin/bitcoin","2010-12-19T15:16:43Z","Bitcoin Core integration/staging tree","C++","2016-08-11T01:25:52Z","3897668f5eea679383881af48c3f3ed63bd15a74","2018-09-23T20:31:11Z","fae9e84cbb519d835d5a7a88b77ddb4ddd009e8a"
"1200050","ariya/phantomjs","2010-12-27T08:18:58Z","Scriptable Headless Browser","C++","2016-04-11T18:27:13Z","2267b2643f55e7a4d3ffe67e5ad68c6394969bba","",""
"1206546","winstonjs/winston","2010-12-29T18:49:51Z","A logger for just about everything.","JavaScript","2018-04-28T06:49:38Z","256fc1322a090a1a914a49ec0dd504a3aecfe0f5","",""
"1213225","highlightjs/highlight.js","2011-01-01T23:47:21Z","Javascript syntax highlighter","JavaScript","2020-02-07T06:22:32Z","120fb1a614fb882b88c452df9566eaa1e3659829","",""
"1234714","elixir-lang/elixir","2011-01-09T08:43:57Z","Elixir is a dynamic, functional language designed for building scalable and maintainable applications","Elixir","2016-02-21T21:58:41Z","5e0b05de1816dd4ab8ad9660132e07a83ab1b5cb","",""
"1254497","codemirror/CodeMirror","2011-01-14T13:44:03Z","In-browser code editor","JavaScript","2020-08-13T15:10:52Z","50cd959fe7939eba01d4647d9081976f48df9bb7","2020-08-13T15:10:52Z","50cd959fe7939eba01d4647d9081976f48df9bb7"
"1283503","request/request","2011-01-23T01:25:14Z","?? Simplified HTTP request client.","JavaScript","2017-02-20T06:11:41Z","256deeae1487d5d7a488b3c50505775b0a1be510","2017-02-14T08:06:33Z","a60be68ddad2877aa17b0ce79391fc3d327afa5e"
"1362490","psf/requests","2011-02-13T18:38:17Z","A simple, yet elegant HTTP library.","Python","2017-05-28T05:01:09Z","5c65f6d01e7713e2f644244d9cf09f685e6a18c1","",""
"1376664","Seldaek/monolog","2011-02-17T02:07:15Z","Sends your logs to files, sockets, inboxes, databases and various web services","PHP","2019-09-05T12:53:43Z","edaa01a66fb450e194eb8c296cbb9fb5b90df0b0","",""
"1377867","locustio/locust","2011-02-17T11:08:03Z","Scalable user load testing tool written in Python","Python","2017-06-27T16:27:48Z","642b9e8cd5014017cd7258dec178575d1db090c1","",""
"1420053","guzzle/guzzle","2011-02-28T02:44:05Z","Guzzle, an extensible PHP HTTP client","PHP","2017-06-28T21:17:38Z","dfd01d60a38cf7e16b3456d4b1d7c10033b929c0","",""
"1424470","moment/moment","2011-03-01T02:46:06Z","Parse, validate, manipulate, and display dates in javascript.","JavaScript","2016-06-24T01:18:51Z","60212c4682c0e0a6337a364ca6fa30d1c6b022f4","",""
"1431547","encode/django-rest-framework","2011-03-02T17:13:56Z","Web APIs for Django. ?","Python","2016-02-22T23:17:02Z","9c2899f6c82d2a3415f240f70c77d4bd4d2e8377","2016-02-22T23:17:02Z","9c2899f6c82d2a3415f240f70c77d4bd4d2e8377"
"1451352","mochajs/mocha","2011-03-07T18:44:25Z","☕️ simple, flexible, fun javascript test framework for node.js & the browser","JavaScript","2017-09-03T21:44:54Z","5895671b053cf8d0b51e1dfa72758307fec21c80","2017-09-04T05:44:54Z","5895671b053cf8d0b51e1dfa72758307fec21c80"
"1663468","mozilla/pdf.js","2011-04-26T06:32:03Z","PDF Reader in JavaScript","JavaScript","2016-03-24T05:48:14Z","4eb9daf34af437f2b7cebd894b2c2ccbc27eb59c","",""
"1790564","handsontable/handsontable","2011-05-23T22:38:58Z","Handsontable is a JavaScript/HTML5 data grid with spreadsheet look & feel. Available for React, Vue and Angular.","JavaScript","2016-10-04T15:28:03Z","05663cbdd834cd562d71f0556cca977ae553b777","2016-10-04T15:28:03Z","05663cbdd834cd562d71f0556cca977ae553b777"
"1801829","emberjs/ember.js","2011-05-25T23:39:40Z","Ember.js - A JavaScript framework for creating ambitious web applications","JavaScript","2020-05-18T20:26:33Z","b5701092700692d7c762bf763b0c3fc2b54fa688","",""
"1828795","AFNetworking/AFNetworking","2011-05-31T21:28:44Z","A delightful networking framework for iOS, macOS, watchOS, and tvOS.","Objective-C","2020-03-31T01:58:53Z","16f9a8ceadb5de1ad0a67503596780a6ab172eef","2020-03-31T01:58:53Z","16f9a8ceadb5de1ad0a67503596780a6ab172eef"
"1864363","composer/composer","2011-06-08T08:53:00Z","Dependency Manager for PHP","PHP","2016-03-17T19:42:19Z","a8e9df55dc62d8806360be2f79ad112b8678d397","",""
"2055965","swagger-api/swagger-ui","2011-07-15T22:56:39Z","Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API.","JavaScript","2017-04-26T22:50:35Z","b9df212ccc4aa50069aa7bef287e7a55040bed3c","2017-10-27T02:58:54Z","cb9804b5ca2d236b032c3ca388fea806b00ce8ec"
"2056312","niklasvh/html2canvas","2011-07-16T01:05:58Z","Screenshots with JavaScript","TypeScript","2017-12-07T17:30:13Z","1d1c74a74edcef60d909e28d735b720c7e406ee8","2017-12-07T17:30:13Z","1d1c74a74edcef60d909e28d735b720c7e406ee8"
"2096579","markedjs/marked","2011-07-24T13:15:51Z","A markdown parser and compiler. Built for speed.","JavaScript","2017-12-02T01:38:11Z","d24427ef3b6499d09252ca038bdeec0f0b94c02f","2018-02-20T06:33:04Z","3670bfaac31b7a7296bf818ffa137e264e9eeffd"
"2126244","twbs/bootstrap","2011-07-29T21:19:00Z","The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.","JavaScript","2016-04-10T19:47:23Z","042427c37a89b4578396484e0a0ef614cb83568f","",""
"2206953","tj/commander.js","2011-08-14T21:33:58Z","node.js command-line interfaces made easy","JavaScript","","","2019-08-13T17:28:50Z","fea94a9feccdc234fead2d74c9bcdc72e598186d"
"2253830","PHPMailer/PHPMailer","2011-08-23T07:57:17Z","The classic email sending library for PHP","PHP","2017-08-28T19:12:07Z","2baf20b01690fba8cf720c1ebcf9b988eda50915","2017-08-28T19:12:07Z","2baf20b01690fba8cf720c1ebcf9b988eda50915"
"2293158","rapid7/metasploit-framework","2011-08-30T06:13:20Z","Metasploit Framework","Ruby","2016-02-23T02:45:02Z","18784b0b5b7e29b8272f4162b274ac809885b3ac","2016-02-23T02:45:02Z","77ee84e0ab727edf40c4ef5785e906c34646d7d5"
"2540368","jaredhanson/passport","2011-10-08T22:38:32Z","Simple, unobtrusive authentication for Node.js.","JavaScript","2018-04-04T09:56:37Z","d784e177a14a03b0efa28c063343ec15fdff5483","2018-04-04T09:56:37Z","d784e177a14a03b0efa28c063343ec15fdff5483"
"2541284","cheeriojs/cheerio","2011-10-09T04:23:20Z","Fast, flexible, and lean implementation of core jQuery designed specifically for the server.","JavaScript","2017-07-28T18:06:35Z","e11f5cd61a81ec58f76864504c7de282c4d0a516","",""
"2561582","animate-css/animate.css","2011-10-12T10:07:38Z","? A cross-browser library of CSS animations. As easy to use as an easy thing.","CSS","2020-04-20T18:41:10Z","cfed1239f51d6f266b82bee2716628babbb8b947","",""
"2562751","zxing/zxing","2011-10-12T14:07:27Z","ZXing (""Zebra Crossing"") barcode scanning library for Java, Android","Java","2016-03-02T12:45:45Z","87802ac463d6485fac29e4dc92d95ac1133ae78b","",""
"2573058","foundation/foundation-sites","2011-10-13T23:05:42Z","The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.","HTML","2016-03-01T03:18:36Z","2d30597246ad777fc624d550c888b334ec857cda","2016-03-01T03:18:36Z","2d30597246ad777fc624d550c888b334ec857cda"
"2579314","fzaninotto/Faker","2011-10-14T22:49:02Z","Faker is a PHP library that generates fake data for you","PHP","2019-08-27T18:21:49Z","29873ae317413aea7cee105f2b6b5f1394d1eda5","",""
"2744972","websockets/ws","2011-11-09T22:32:45Z","Simple to use, blazing fast and thoroughly tested WebSocket client and server for Node.js","JavaScript","2017-05-27T15:47:08Z","a7bd1e3b4042cf6a4a4f06a53185e9306c66cf28","",""
"2909429","nicolargo/glances","2011-12-04T08:49:15Z","Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.","Python","2016-03-28T16:35:14Z","31ed2dba2469be0da82dcfe83c0869147aa7dcf9","2016-03-28T16:35:14Z","31ed2dba2469be0da82dcfe83c0869147aa7dcf9"
"2935735","adobe/brackets","2011-12-07T21:14:40Z","An open source code editor for the web, written in JavaScript, HTML and CSS.","JavaScript","2016-09-07T02:08:40Z","1ad12c40c6a912ebc755a32bedd9eb993f3662cf","",""
"3100121","nwjs/nw.js","2012-01-04T06:21:10Z","Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.","JavaScript","2016-03-18T10:35:32Z","3e5282ec9acf44165c1de0d7fc1fe3dc162828a6","",""
"3214406","meteor/meteor","2012-01-19T01:58:17Z","Meteor, the JavaScript App Platform","JavaScript","2016-02-19T21:59:40Z","7ad51b7418661a7fd7c8e08ce7b585e42c1b50e1","2016-02-19T21:59:40Z","7ad51b7418661a7fd7c8e08ce7b585e42c1b50e1"
"3228505","atom/atom","2012-01-20T18:18:21Z",":atom: The hackable text editor","JavaScript","","","2016-12-22T11:58:39Z","3ebfd6dde2ab1fb704ae046f959ea56b4bdbf1c4"
"3390243","servo/servo","2012-02-08T19:07:25Z","The Servo Browser Engine","Rust","","","2016-05-11T03:38:47Z","3345d15f429ee7c7232bdb304c2af374dfad05e7"
"3470471","FortAwesome/Font-Awesome","2012-02-17T14:19:43Z","The iconic SVG, font, and CSS toolkit","JavaScript","2018-01-31T07:55:28Z","ad8a3004e4ae60a3a46f858e9b36bc1230ff2023","2018-02-06T05:18:38Z","c8166a2f65c3ca3cfada68b7614c51ef540f5c6f"
"3606624","ReactiveCocoa/ReactiveCocoa","2012-03-02T22:11:24Z","Cocoa framework and Obj-C dynamism bindings for ReactiveSwift.","Swift","","","2017-07-06T03:12:01Z","836f742b35efd24fc1014d3a989efeb6ede06a80"
"3620194","select2/select2","2012-03-04T18:43:12Z","Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results.","JavaScript","2016-02-19T06:34:43Z","f2268caf23d2a50944f1d8f8211f1501fa259163","2016-02-19T06:34:43Z","f2268caf23d2a50944f1d8f8211f1501fa259163"
"3623050","Homebrew/homebrew-cask","2012-03-05T02:05:17Z","? A CLI workflow for the administration of macOS applications distributed as binaries","Ruby","2016-06-19T23:39:58Z","018d5775a3ed8b162ca9aa62fd44812bc9762e1a","2016-04-01T00:38:38Z","19817915789e5942494ec204039571eb540ce051"
"3638964","ansible/ansible","2012-03-06T14:58:02Z","Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","Python","2016-02-17T21:39:42Z","517acb57738800ae72a140044ecb09325a461f55","2016-02-18T18:23:01Z","ff8b48ca65aa77d9baf8f9d9ea24ca9199a8d7a2"
"3678731","webpack/webpack","2012-03-10T10:08:14Z","A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.","JavaScript","2016-06-08T23:56:28Z","c8e82cb4caa5e00cd0d18f6dca65aa37d459a5a8","2016-06-08T23:56:28Z","c8e82cb4caa5e00cd0d18f6dca65aa37d459a5a8"
"3721224","nolimits4web/swiper","2012-03-14T19:11:45Z","Most modern mobile touch slider with hardware accelerated transitions","JavaScript","2016-09-14T22:38:26Z","8336692c9b6b0ea5d740fe35fea0ad75cb12c0e1","2016-09-14T22:38:26Z","8336692c9b6b0ea5d740fe35fea0ad75cb12c0e1"
"3757512","balderdashy/sails","2012-03-18T19:46:15Z","Realtime MVC Framework for Node.js","JavaScript","2016-03-02T22:56:37Z","27e27430b95651e21f0ea275ed2c36cfb7b5dc14","2016-03-02T22:58:58Z","198a0a26d1e87a6407378a8eb1655f9d6eb06274"
"3834332","bokeh/bokeh","2012-03-26T15:40:01Z","Interactive Data Visualization in the browser, from  Python","Python","2016-03-11T01:51:58Z","a5a4213227ee9bbe772bd13cb1649af47b1271bf","2016-03-11T01:51:58Z","a5a4213227ee9bbe772bd13cb1649af47b1271bf"
"4037197","ycm-core/YouCompleteMe","2012-04-16T03:12:14Z","A code-completion engine for Vim","Python","2016-02-22T05:43:33Z","f8512e7007ea37de11e76ee6ed6105a74bf46683","2016-02-22T05:43:33Z","f8512e7007ea37de11e76ee6ed6105a74bf46683"
"4044891","realm/realm-cocoa","2012-04-16T20:06:56Z","Realm is a mobile database: a replacement for Core Data & SQLite","Objective-C","2016-02-18T06:32:19Z","d7424ffbf2f82d37c67b6138dde1bb0b16f65e84","",""
"4279682","fish-shell/fish-shell","2012-05-10T03:00:55Z","The user-friendly command line shell.","Shell","2016-02-24T16:06:26Z","68807f274e301915296fb15c13892b22d18e09df","2016-07-06T17:31:27Z","bd33e11599df7a68481b87e8c4ac5ebee09bec2c"
"4598984","FelisCatus/SwitchyOmega","2012-06-08T15:32:30Z","Manage and switch between multiple proxies quickly & easily.","CoffeeScript","2018-07-12T21:06:23Z","e7daf9f92674bdc082cc30e3a0cc666637e87a2d","2018-07-12T21:06:23Z","e7daf9f92674bdc082cc30e3a0cc666637e87a2d"
"4710920","apache/dubbo","2012-06-19T07:56:02Z","Apache Dubbo is a high-performance, java based, open source RPC framework.","Java","2018-06-29T10:00:22Z","f8cd9d9f509bd6e62e0ef180c637e5cac6e07cf2","2017-11-16T19:35:07Z","8f6b7321767317de6ef456f74d2986a45368a14d"
"4793392","sqlmapproject/sqlmap","2012-06-26T09:52:15Z","Automatic SQL injection and database takeover tool","Python","2016-10-11T15:33:36Z","5d2972f362834b928aa379591e3e3d6acfb7f6e6","",""
"5101141","stedolan/jq","2012-07-18T19:57:25Z","Command-line JSON processor","C","2018-08-17T21:15:08Z","3dc5f4e948b1114c37a9afd3060dacf099892689","",""
"5108051","opencv/opencv","2012-07-19T09:40:17Z","Open Source Computer Vision Library","C++","2016-02-19T21:08:58Z","74ee9ac572820dad03008a2dcae249b77856e900","2016-02-19T21:29:59Z","7ff93600b88cf348c6c6d52499da539cb88d2de6"
"5133949","swoole/swoole-src","2012-07-21T13:49:59Z","? Coroutine-based concurrency library for PHP","C++","2017-08-08T20:34:13Z","f1ded528f7fdd7359589acd44bd11b2cbfd08807","",""
