Respondent ID,How many years of experience do you have in OSS projects?,"On average, how many new issues/PRs does the project you mainly maintain receive each month?",How many of the issues/PRs submitted to the project you mainly maintain followed the template?,"Based on your experience, how much do you agree with the following statements about the usefulness of issue/PR templates?",,,,,,,,"From the maintainers perspective, what are the challenges of using the issue/PR template feature on GitHub?","To better support your tasks as an OSS maintainer, what improvements would you like to see for the issue/PR template feature on GitHub?",Do you have anything else to tell us about issue/PR templates on GitHub?
13351289149,5-10 years,< 50,Many,Very agree,Very agree,Neither agree or disagree,Agree,Very agree,Agree,Agree,It can give pointers and links to useful resources as inline HTML comments that are hidden.,"It can be too much text, overwhelming people.",Like I have seen for issues; some kind pre-rendered sections that divides the input into multiple input boxes.,The numbers used are silly high.
13351187659,5-10 years,< 50,None,Very agree,Very agree,Very agree,Agree,Agree,Very agree,Very agree,,,,
13350575926,>10 years,50~100,None,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,,Writing a good template. And updating the template when it is no longer relevant,,
13350378053,>10 years,50~100,Moderate,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,,,
13350307941,5-10 years,< 50,Moderate,Very agree,Very agree,Disagree,Disagree,Neither agree or disagree,Very disagree,Very agree,"GitHub issues are an asynchronous communication mechanism. That is, users submit, then maintainers review at some other time. If the maintainer has to ask for more information/logs/etc. then it wastes the time of both the contributor and the maintainer. Asking for the full template/minimal repro case and all diagnostics upfront is a burden for contributors, but massively reduces the workload of maintainers.","I use both the (new) guided ""form-like"" templates and the legacy ones (such as in your example). the main problems of the legacy one are that users frequently just ignore them or partially complete them. The main drawback of the new one is that it is awkward to set up and maintain. In both cases it can scare away contributors with real problems from raising issues (due to the work required to do so), and therefore the quality of the product may suffer due to not getting legitimate bug reports.",More flexibility in providing progressive forms such as question/answer etc.,not really.
13350267743,3-5 years,< 50,Few,Agree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,,,,
13350258337,>10 years,50~100,Moderate,Very agree,Agree,Agree,Agree,Very agree,Agree,Agree,Warn about common solutions (eg. by asking the software version the submitter might realize the problem can be solved by upgrading),Finding the right template is certainly hard.  ,Submit PRs as forms  Edit existing issues as forms,
13350138135,5-10 years,50~100,Many,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Neither agree or disagree,,A streamlined process from issue/PR to merge or solved issue,"Mandatory questions that can't be removed, more like a form",
13350136804,5-10 years,>300,Many,Agree,Very agree,,Neither agree or disagree,Agree,Agree,Neither agree or disagree,,,,
13350100473,3-5 years,>300,Many,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,They make good issues/PRs more likely,People often ignore it,It's good as is,
13350079845,5-10 years,200~300,Few,Very agree,Agree,Agree,Disagree,Agree,Neither agree or disagree,Agree,,Enforcing it is followed,Make it easier to enforce using certain templates when creating issues - make adding news issues or PRs obligatory to follow templates,
13350024000,5-10 years,100~200,Moderate,Very agree,Very agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,,,,
13350010085,3-5 years,< 50,All,Agree,Very agree,Agree,Agree,Neither agree or disagree,Agree,Very agree,,"People don't read.  It doesn't matter how detailed the guide is, there are always some who will just gloss over the details.","It might be nice to have question type fields which are asked as questions or checkboxes outside of the text of the template.  IE: if I have common checkbox things, it can be challenging to fill them out via text.  An Answer/response in web standard controls (checkbox, text box, etc) might be nice.    It would also be nice to be able to mark ""instruction"" parts of the template as not needing to be included in the submission.  IE: ""Don't do this or that"" doesn't need to be seen by the reviewers, just by the submitter.","They are a net positive in most cases, even if they don't always work."
13350009200,>10 years,< 50,Few,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Disagree,,"Don't know what I actually want in the template until project matures. Also, being too strict in a template can sometimes scare people away.",,
13349954859,3-5 years,>300,Many,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Disagree,provides all the details needed for triage,learning barrier for newcomers  some trivial issues/prs do not need a template and filling up and entire template for no reason  template being textual means that the user could unintentionally delete stuff or reorder them,issue/pr templates shouldn't be text based but maybe a UI or a form that makes it easier for people to know that they have to fill in,
13349943806,1-3 years,>300,Many,Agree,Agree,Very agree,Very agree,Agree,Very agree,Disagree,,"Many people seem to ignore the template anyway, and end up creating incomplete/inaccurate issues and PRs.","Not sure if there are better solutions, but making the issue/PR templates even more visible and making sure people read before submitting might help.",
13349928755,3-5 years,>300,Moderate,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,,,,
13349901585,>10 years,200~300,Moderate,Very agree,Agree,Neither agree or disagree,Agree,Very agree,Neither agree or disagree,Disagree,,"Figure out relevant scenarios, writing good templates.","Examples and defaults I can pick from. Many projects use a very similar setup, a curated list of good templates would make it much easier to setup.",
13349886481,3-5 years,50~100,Moderate,,,,,,,,,,,
13349885080,5-10 years,>300,Many,Agree,Very agree,Agree,Very agree,Very agree,Disagree,Neither agree or disagree,,,"It'd be nice if we could add an explanation about the template next to the template. Now we put those in html comments inside the template, but that quickly gets cluttered and hard to follow.",
13349869742,5-10 years,< 50,Many,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Very disagree,,Filling sections that don't fit to my issue is annoying.,Make it easier to edit and skip certain sections.,
13349833359,1-3 years,< 50,Many,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,,,,
13349829919,>10 years,>300,Moderate,Very agree,Very agree,Very agree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,,,,
13349817183,3-5 years,>300,Many,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,,,,
13349811606,1-3 years,100~200,All,Very agree,Very agree,Very agree,Very agree,Very agree,Agree,Very disagree,"We use 3 different templates to create 3 types of issues:  - an epic to track the project (internal use only, documents use cases)  - an agile ""story"" level issue (internal use only), that is, an increment of work.  This has its own template to complete for the PR submission as well.  - a defect (external and internal use).  This issue template is heavily edited with lots of information for the user on what to provide us.","many of our defects come in with a title and the template NOT filled it.  we believe that our users, either don't bother to LOOK at the template text, or think that the template text is somehow filled out already with relevant information from the prior screen (it's not).","I would love to be able to parameterize the templates, and pass in some details from an incoming redirect link","The new GitHub Beta Projects has MANY gaps when trying to add issues, search, filter, etc.  Not sure if that's relevant for your survey."
13349795633,5-10 years,50~100,Moderate,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,,,,
13349787809,>10 years,50~100,Many,Neither agree or disagree,Neither agree or disagree,Very agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,,,,
13349785148,>10 years,< 50,Moderate,Disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,,"Getting users to fill them out accurately can be difficult. However, making them mandatory can cause more problems than it solves; the most experienced category of users may become frustrated if the situation they encountered doesn¡¯t fit nicely in the template structure but know that they¡¯re correct, and/or that information which the maintainers need can¡¯t be added in the correct section.","It would be useful to be able to automatically collect information tied to the applications that are at issue. For example, look at the way the reportbug package in Debian allows maintainers to gather additional details about the reporter¡¯s computers and installation that may be critical to understanding the issue. ",
13349784994,5-10 years,50~100,Few,Disagree,Agree,Neither agree or disagree,Very disagree,Disagree,Agree,Agree,,,,
13349779061,>10 years,50~100,None,,,,,,,,,,,
13349773632,>10 years,< 50,None,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,I have never actually used this Github feature as a maintainer. When I have encountered them as a bug reporter they usually get in my way and make the project seem officious and not actually interested in listening to bug reports. If I used templates myself it would only be to solicit version and configuration information.,,,
