Respondent ID,How many years of experience do you have in OSS projects?,"On average, how many issues/PRs do you submit to OSS projects each month?","When opening an issue/PR to OSS projects,  do you follow the template?","Based on your experience, how much do you agree with the following statements about the usefulness of issue/PR templates?",,,,,,,,"From the contributors perspective, what are the challenges of using the issue/PR template feature on GitHub?","To better support your tasks as an OSS contributor, what improvements would you like to see for the issue/PR template feature on GitHub?",Do you have anything else to tell us about issue/PR templates on GitHub?,
13364857608,>10 years,3~10,Often,Agree,Agree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,,,,,
13364682710,< 1 year,< 3,Often,Very agree,Agree,Agree,Very agree,Agree,,Neither agree or disagree,,,,,
13364592154,3-5 years,< 3,Always,Disagree,Disagree,Very disagree,Very disagree,Very disagree,Disagree,Disagree,,,,,
13364545677,1-3 years,< 3,Often,Agree,Very agree,Disagree,Disagree,Agree,Agree,Very agree,,"it can feel as if it’s ‘lost in the mix’ i.e. due to the volume of PRs on some repos, a user may not feel their PR has any type of priority","a way to gauge how impactful a PR is (NLP to determine meaning of PR as stated on template, or a quantification of diff/line type of metric) and give it a priority","let me know if i can be if any help   GH: DevilBoy007    proficient in algorithms using: C#,C++,Python,Java,JS",
13364428356,5-10 years,< 3,Often,Agree,Agree,Neither agree or disagree,Agree,Very agree,Neither agree or disagree,Agree,,,,,
13364419550,5-10 years,3~10,Often,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,,,,,
13362797966,5-10 years,< 3,Often,Very agree,Neither agree or disagree,Agree,Neither agree or disagree,Very agree,Agree,Neither agree or disagree,,"Missing Markdown syntax highlithing make the templates less readable and for newcomers the use of HTML comments for description is quite confusing. Some projects seem to avoid the ""invisible"" comments by making them part of the ""visible"" template. The downside for the later is, that it gets bloated.",A form like this survey would often be beneficial for less markdown-savy persons. I can imagine an option to toggle between a form view (for newcomers) and a markdown view for advanced formatting.,,
13362257233,< 1 year,< 3,Never,,,,,,,,,,,,
13359749697,5-10 years,< 3,Often,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,,"For some cases templates are irrelevant but as they are not forced in any way, this is not an issue",,,
13359175423,5-10 years,3~10,Sometimes,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,,,,,
13359141885,1-3 years,< 3,Often,Very agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,,,,,
13357869791,< 1 year,< 3,Always,Agree,Very agree,Agree,Agree,Agree,Very agree,Agree,,,,,
13357383114,>10 years,< 3,Always,Very agree,Neither agree or disagree,Very agree,Disagree,Agree,Agree,Neither agree or disagree,,,,,
13357358315,>10 years,< 3,Often,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,,,,
13355120000,>10 years,< 3,Always,Very agree,Agree,Agree,Agree,Very agree,Agree,,,,,,
13354207688,1-3 years,10~30,Often,Very agree,Very agree,Very agree,Very agree,Agree,Agree,Agree,,"This should not cause any difficulties, I don't see any problems",i can't add anything,for me it's hard to answer deeply in English.,
13354134207,>10 years,< 3,Rarely,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,,Too long,1 liner explanation,,
13354104273,< 1 year,< 3,Always,Very disagree,Very disagree,Very disagree,Very disagree,Very disagree,Very disagree,Neither agree or disagree,,,optipnal fields,,
13354092346,1-3 years,3~10,Sometimes,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Disagree,,,,,
13354081020,>10 years,3~10,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,
13354020650,5-10 years,< 3,Always,Agree,Very agree,Neither agree or disagree,Agree,Very agree,Disagree,Very agree,,nothing,coerced template... everyone MUST follow to submit an issue,,
13353383559,>10 years,3~10,Often,Very agree,Very agree,Very agree,Very agree,Agree,Very agree,Agree,,,,,
13353249490,5-10 years,< 3,Rarely,Very agree,Neither agree or disagree,Agree,Very agree,Very agree,Very agree,Very agree,,,,,
13352817370,< 1 year,< 3,Never,Very agree,Agree,Neither agree or disagree,Disagree,Very disagree,Disagree,Neither agree or disagree,,,,,
13352754262,>10 years,< 3,Always,Very agree,Very agree,Very agree,Very agree,Neither agree or disagree,Neither agree or disagree,Agree,,,,,
13352649685,>10 years,3~10,Sometimes,Very agree,Very agree,Very agree,Neither agree or disagree,Disagree,Agree,Disagree,,"they often do not match the actual thing to be described, e.g., there is template for reporting new feature while you just want to report a bug, or you want to ask for upgrading a lib, etc.",,,
13352443054,3-5 years,< 3,Always,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Neither agree or disagree,,,,,
13352038679,< 1 year,3~10,Often,Very agree,Agree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Very agree,,It would be awesome to have some sort of autocompletion and tab-like behavior to "fill in the blanks" rather than editing the markdown. ,Keep them as succint as possible.,No.,
13351816502,< 1 year,< 3,Often,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,,,,
13351757156,1-3 years,10~30,Always,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,Sometimes the maintainers and devs can take so long to respond to an issue or review a PR,The issues can be added a sorting feature such that issues that belong to a similar topic can be filtered to ease reading and going through them instead of just listing them in chronological order,,
13351724044,3-5 years,3~10,Always,Very agree,Very agree,Agree,Agree,Very agree,Neither agree or disagree,Agree,,,,,
13351710564,>10 years,3~10,Sometimes,Very agree,Very agree,Very agree,Very agree,Very agree,Agree,Agree,Sometimes prompts you to provide details you may otherwise have not thought of.,"Sometimes templates ask for too much, especially for some issues where the template isn't entirely relevant (eg a type in documentation)","Ability for separate fields (Drupal.org does this) so you can easily see what version an issue was raised against. Maybe issue type (bug, feature request, etc) - although Labels help here.",,
13351631792,3-5 years,< 3,Often,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,writing it clear and concise,currently I don't know,no,
13351625373,3-5 years,3~10,Sometimes,Agree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,,,,,
13351584519,3-5 years,< 3,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,"Often if it's too long or has too many fields for you to fill up, youmight feel demotivated to go that extra mile. I mean it has happened to me couple times.",I think precise but few points that will help both parties are important. We have to remember the developer experience is at stake here.,,
13351580864,>10 years,< 3,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,
13351566472,>10 years,< 3,Often,Very agree,Agree,Neither agree or disagree,Very disagree,Very disagree,Disagree,Agree,,Issue templates are an additional barrier for contributors. They can discourage new contributors and may be a burden for existing contributors.,I don't use issue templates.,I don't use issue templates.,
13351559727,5-10 years,< 3,Always,Very agree,Very agree,Agree,Agree,Very agree,Neither agree or disagree,Neither agree or disagree,,,,,
13351532648,>10 years,< 3,Sometimes,Agree,Neither agree or disagree,Agree,Disagree,Disagree,Agree,Neither agree or disagree,,The template sucks.  Requires too much information,,,
13351514833,5-10 years,3~10,Often,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,project makes a respectable impression,"It requests too much information irrelevant to my submission. E. g. I run into an obvious bug in JS code but the template asks me for my OS, CPU, etc.","Let contributors know that the template is a recommendation, not a strict rule.",,
13351465975,5-10 years,< 3,Always,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,,,,
13351456985,1-3 years,< 3,Often,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,,,,,
13351390672,3-5 years,3~10,Often,Very agree,Disagree,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,,,,,
13351341795,1-3 years,< 3,Never,Agree,Very agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,,,,,
13351300699,1-3 years,3~10,Often,Neither agree or disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,,,,,
13351299822,5-10 years,3~10,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Many templates are poorly-written. They force you into a structure that isn't the clearest way of explaining an issue.,"Better guidelines/examples on how to write a template that isn't too burdensome or constraining.    Having everything be in a single textarea makes it difficult to follow. It contains section headings, instructions, and placeholder text. Imagine if you were building a custom UI to report bugs to your project:  - Each section would be a separate textarea.  - The instructions on how to fill things out wouldn't be inside the text area.",,
13351289857,3-5 years,10~30,Often,Agree,Very agree,Very agree,Very agree,Agree,Agree,Agree,,,,,
13351268498,5-10 years,< 3,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Might be cumbersome,It looks like it works fine,,
13351050370,1-3 years,< 3,Always,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Neither agree or disagree,,,,,
13351030180,>10 years,< 3,Rarely,Agree,Agree,Disagree,Agree,Neither agree or disagree,Disagree,Agree,,,,,
13351021343,3-5 years,< 3,Always,Very agree,Very agree,Very agree,Very agree,Agree,Very agree,Agree,"It brings diversity to our project, helping collecting great minds.",Simplicity. Many templates ain't simple enough.,None.,Keeps the good work.,
13351016347,3-5 years,3~10,Often,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Agree,Let people find similar issues/PR first,Hard to make a high-quality template for my project,Some guideline or template of template,"no, for now",
13350996165,1-3 years,< 3,Sometimes,Agree,Neither agree or disagree,Very agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,,,,,
13350988031,3-5 years,10~30,Sometimes,Very agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,Disagree,,,,,
13350980118,1-3 years,< 3,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,"They may need fill much information, which is time-consuming.",None,None,
13350976244,3-5 years,< 3,Sometimes,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,,,,,
13350973214,1-3 years,< 3,Often,Agree,Agree,Neither agree or disagree,Disagree,Very agree,Disagree,Agree,,,,,
13350944033,1-3 years,< 3,Always,Very agree,Agree,Neither agree or disagree,Very agree,Agree,Agree,Neither agree or disagree,,,,,
13350911383,1-3 years,3~10,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It provides a platform for people who need to discuss their questions and suggestions in open source projects without much reference（可以使需要探讨的人们在没有更多的参阅条件下的开源项目中，能够让大家对自己的问题和建议提出提供一个的平台。）,communication，表达问题的方式，提交issue/PR的规范,,,
13350897575,3-5 years,>30,Always,Very agree,Very agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,,"The issue template usually contains more blanks than necessary to describe the problem—for example, the ""expected behavior/actual behavior"" is very often duplicated from the ""overall description"" for straightforward bugs. This makes the issue report more verbose than it should be.","Right now, we've ported our issue templates to issue forms, which work great. I hope that GitHub can offer non-editable Markdown that's copied to the final report. Right now, only the headings are filled in.","Even with a template, it can still be extremely poorly filled, or sections are completely ignored or filled with irrelevant sentences. At the end of the day, it still depends on the issue submitter's own discretion.",
13350897245,1-3 years,< 3,Always,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,,,,
13350881392,5-10 years,< 3,Often,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,,Too many details required,"Tiers of issues (quick support, bug tip, bug repro, etc…)",,
13350838524,3-5 years,< 3,Sometimes,Very agree,Very agree,Very agree,Very agree,Agree,Agree,Very agree,,,,a lot of things could be covered by PR CI checks,
13350833104,3-5 years,3~10,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,English language,,,
13350716461,>10 years,< 3,Sometimes,Agree,Very agree,Agree,Agree,Agree,Neither agree or disagree,Very agree,,The template sections are ignore if too onerous.  Can discourage submissions,,,
13350712842,< 1 year,< 3,Always,Agree,Agree,Very agree,Very agree,Agree,Agree,Agree,Helps in making application bug free.Easy code/problem review.,None,Issues mentioned with remaining timeline to make fast paced environment.,,
13350703996,< 1 year,< 3,Never,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,,,,,
13350638561,>10 years,< 3,Sometimes,Agree,Very agree,Agree,Neither agree or disagree,Agree,Agree,Agree,"Reassure even experienced contributors that we have not forgot anything in the issue report.  Templates are not just for novices. I am a contributor who works on multiple projects which use different processes and different systems. Even when I have used a particular project's process and system before, it is reassuring to have a template, so that I can be confident I am remembering the right process and data fields. I do not want to accidentally apply the process and data fields from a different project. ","Most of the projects I work with are not using issue or PR templates. Many projects, even those who publish code on Github, host their bug database or ticket system someplace other than Github.   For projects which do use issue/PR templates, it raises the threshold of minimum work required to report an issue. It is harder to make a minimal report just so that the issue is not forgotten, to be followed later by the rest of the details.",No comment,"I have not used Github's issue/PR templates enough to have something useful to say.  There are other kinds of template. For instance, the MacPorts project has a chapter in their user guide documentation listing how to file an issue report, field by field and step by step. I use this with every report, and keep finding it useful even after I have filed several reports. See https://guide.macports.org/#project.tickets .",
13350611280,>10 years,< 3,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Generally I do agree they may help in some cases but in 99% of the situations they just turn what could be a simple contribution into a chore, filled with information thats probably not needed.",If the project is important to me then I will put the time in to do the detailed report but often time it just turns it into a big chore to report a simple thing. I have abandoned submitting issues before when I was busy working and just wanted to point out a simple issue with a project for them to investigate but they wanted a long template filling out with screenshots and versions and all sorts.,Simpler initial reporting with a follow up template if the developers need it.,"The worst thing is when you make great contributions and the pr or issue just gets ignored. I have so many tweaks that I have spent the time to make bug fixes with and they just never get any attention from the owners. Some of them have tons of support, like this one: https://github.com/ionic-team/ionic-storage/issues/229 which everyone agrees is a correct fix but has never had any attention from the developers.",
13350543580,5-10 years,< 3,Often,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Very agree,,,,,
13350538146,5-10 years,< 3,Often,Agree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Very agree,Very agree,Reduction in manual overhead to accept code-contributions in popular projects (Bots also needed to fully realise this).,"I think it's fine from the perspective of a contributor as it can be partially ignored. The biggest issues are faced by OSS project owners, who can't enforce anything.",N/A,No.,
13350500535,5-10 years,< 3,Always,Very agree,Very agree,Agree,Very agree,Very agree,Neither agree or disagree,Agree,,"None, it guides you to do your work properly.",Nothing directly comes to mind,No,
13350433822,3-5 years,3~10,Often,Very agree,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,,"Sometimes, when I don't fulfill all needed information I am not sure whether I should submit at all.",,,
13350427187,>10 years,< 3,Always,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,,,,,
13350412048,>10 years,< 3,Often,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,,,Often the template contains many questions that seem irrelevant to the issue or PR that I create ,More generic,,
13350372361,3-5 years,< 3,Always,Very agree,Agree,Agree,Very agree,Agree,Agree,Neither agree or disagree,,Sometimes templates ask for information that is obviously irrelevant to the issue in question.,"The mixing of comments and user-supplied information can be a bit wonky. Perhaps this could be improved - e.g., syntax highlighting would be a benefit when using a template.",,
13350358529,3-5 years,< 3,Often,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,,"Very often template is extremely detailed and tries to cover all possible corner cases, while plenty of issues does not require so many informations.",,,
13350314078,3-5 years,10~30,Rarely,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,,,,,
13350310338,1-3 years,>30,Rarely,Agree,Very disagree,Disagree,Very agree,Disagree,Neither agree or disagree,Very disagree,,,,,
13350302693,>10 years,< 3,Often,Very agree,Neither agree or disagree,Agree,Agree,Agree,Very agree,Very agree,,,,,
13350302434,5-10 years,3~10,Often,Very agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,,Not being able to explain everything in template,multiple templates per type,no,
13350271306,>10 years,< 3,Often,Very agree,Very agree,Very agree,Very agree,Agree,Agree,Agree,,Sometimes the template is a bit verbose for the scope of my PR. ,,,
13350264570,3-5 years,< 3,Often,Very agree,Very agree,Very agree,Very agree,Very agree,Neither agree or disagree,Disagree,,,,,
13350255764,5-10 years,< 3,Always,Agree,Very agree,Neither agree or disagree,Agree,Disagree,Disagree,Agree,instant feedback on what the repo owner expects to know about my environment,"doesn't always fit the nature of some issues, sometimes can be out of place depending on the type of repository in question",,,
13350227429,1-3 years,< 3,Sometimes,Neither agree or disagree,Agree,Disagree,Agree,Very agree,Very agree,Disagree,,,,,
13350192302,3-5 years,10~30,Always,Very agree,Agree,Very agree,Agree,Very agree,Very agree,Very agree,,It may be irrelevant if I as a contributor know what the exact issue is and how to fix it.,,,
13350180125,< 1 year,< 3,Always,Very agree,Very agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,,,,,
13350179982,>10 years,< 3,Sometimes,Agree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,,,,,
13350173594,>10 years,3~10,Sometimes,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,,"lots of manual editing needed, not a form with separate input fields","see above, if it could provide an actual form with multiple fields",,
13350165123,>10 years,< 3,Always,Agree,Agree,Very agree,Very agree,Neither agree or disagree,Agree,Very agree,,,,,
13350156561,1-3 years,< 3,Always,Very agree,Agree,Agree,Very agree,Agree,Disagree,Disagree,,Sometimes the template is formatted in such a way that info might be in two places in the template or there is no place for the info at all in the template.,"Some community made templates already have this, but for be a checklist where you need to check all items to be able to submit the issue/PR","Nothing to tell, but have a great day!",
13350101420,3-5 years,< 3,Often,Agree,Very agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Useful checklists to prevent oneself from making silly mistakes by omission.,"Once templates are added, it puts an additional burden on us to make sure there are templates for all situations. We do not want to discourage new contributors simply because we have not added templates for certain situations.","I believe the beta support for templates with dedicated sections makes it easier to get started, easier to adhere to the templates, and somewhat easier to analyse them after the fact.","A successful template is usually a good starting point that can be amended to fit a specific PR, especially if it deviates from the template due to its scope or nature.",
13350095346,5-10 years,< 3,Always,Agree,Very agree,Agree,Agree,Very agree,Neither agree or disagree,Agree,,,,,
13350086208,>10 years,< 3,Often,Agree,Agree,Agree,Disagree,Neither agree or disagree,Agree,Agree,,,,,
13350045047,3-5 years,< 3,Often,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,,,,,
13349997654,5-10 years,< 3,Often,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,,,,,
13349991407,5-10 years,3~10,Often,Very agree,Very agree,Neither agree or disagree,Very agree,Neither agree or disagree,Disagree,Neither agree or disagree,,,,,
13349991101,5-10 years,< 3,Always,Agree,Agree,Very agree,Agree,Disagree,Very disagree,Very disagree,,none,,,
13349990238,>10 years,< 3,Sometimes,Disagree,Agree,Very agree,Agree,Very disagree,Disagree,Agree,,Blind adherence to templates when they are not relevant. For example requesting runtime numbers when discussing theoretical or non-runtime specific issues.,"standardization of templates across forges (GitHub, Gitlab, Gitea, etc)",,
13349987919,>10 years,3~10,Often,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Neither agree or disagree,,,,,
13349972801,3-5 years,< 3,Often,Very agree,Very agree,Neither agree or disagree,Agree,Agree,Agree,Disagree,,"Often bug reporters do not read the template at all or understand the issue format, so they either submit a blank issue, write the entire issue description in the title, or fill the template with gibberish.   Other times the template may contain instructions that may not be easily understood by some bug reporters, or are too long to fit inside their attention span.",Recommend (but don't enforce) a limit on the length of each instruction. Set up a form field interface so new contributors more easily understand that the template has various sections that need to be filled.,,
13349969237,>10 years,3~10,Always,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,,"It is sometimes hard to get the expected information, not even being sure it is relevant. It is definitely more work, no matter the size and impact of the PR (for example, for fixing some typos in the documentation, most information are irrelevant, except the commit itself).","Some automatization would definitely help. For example, if the tool is capable of detecting unit tests in the PR, it could not show this item to the contributor (or automatically check a check box, or whatever automatization could be done).",,
13349963360,3-5 years,< 3,Always,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,,,,
13349944306,1-3 years,< 3,Often,Agree,Very agree,Neither agree or disagree,Agree,,Very agree,Neither agree or disagree,,i don't have much input on this,na,nope,
13349940286,3-5 years,< 3,Often,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree or disagree,,,,,
13349934537,5-10 years,3~10,Often,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,,,,,
13349922684,1-3 years,< 3,Always,Very agree,Very agree,Agree,Very agree,Neither agree or disagree,Agree,Neither agree or disagree,,,,,
13349921045,< 1 year,3~10,Sometimes,Agree,Agree,Neither agree or disagree,Disagree,Disagree,Disagree,Disagree,,,,,
13349912338,1-3 years,< 3,Sometimes,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,,,,"I have contributed to several (at least 3) OSS projects on GitHub multiple times, but I’ve never heard of or used this feature (PR templates), to my knowledge.",
13349908984,5-10 years,< 3,Rarely,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,,It encourages unnecessarily verbose PRs for very simple cases,,,
13349907198,1-3 years,< 3,Always,Agree,Very agree,Neither agree or disagree,Agree,Agree,Disagree,Agree,,,,,
13349905763,3-5 years,3~10,Often,Agree,Very agree,Neither agree or disagree,Agree,Very agree,Agree,Agree,clarity; less questions once the issue has been filed according to the template,"time to read, time to fill out the template/answer the questions, provide the information and data necessary","GitHub-provided templates, ready-to-use templates for certain universal cases (i.e. PR/issue/bug/feature request)",love them if they're being used reasonably; can greatly improve a repo's quality/communication with the people involved and massively reduce time and effort to extract information from an issue/PR,
13349903390,>10 years,< 3,Sometimes,Neither agree or disagree,Agree,Very agree,Agree,Very agree,Agree,Very disagree,,,,,
13349887790,5-10 years,3~10,Often,Agree,Very agree,Agree,Very disagree,Agree,Agree,Very agree,- allows automatic tag creation based on template type which allows categorisation  - lets repository authors prompt user with standard headings and hints for what they should contain (e.g. checkboxes),"Sometimes I want to raise a PR but none of the templates fit well, or many of the sections are irrelevant.    Sometimes it would take me a long time to fill out all the sections and I feel it would be effort wasted as my PR won't be accepted / issue won't be fixed.","Better labeling support, integrated with templates.",,
13349883773,1-3 years,3~10,Often,Agree,Very agree,Very agree,Agree,Very agree,Agree,Neither agree or disagree,,,,,
13349883322,3-5 years,< 3,Often,Very agree,Agree,Agree,Very agree,Agree,Agree,Very agree,,"We have to first go through a lengthy guidelines to be followed when submitting a PR. it could be standard as well, but each repo has it's own set of conventions. ",NA,NA,
13349881957,5-10 years,< 3,Sometimes,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,,,,,
13349881795,3-5 years,10~30,Always,Very agree,Agree,Very disagree,Agree,Agree,Very agree,Very agree,,Adding templates into the repo itself. Brrrrr,,,
13349879362,3-5 years,3~10,Often,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,,,It wouls be nice if part of the templates could "auto clean" on click.    Standardizing it across implementations as GitLab could improve adoption rates,Great feature that should be used more often.,
13349876340,1-3 years,3~10,Often,Very agree,Very agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,,,,,
13349876108,>10 years,3~10,Often,Agree,Very agree,Very agree,Neither agree or disagree,Agree,Agree,Agree,Ability to process them programmatically ,Hard to create ideal template,Make it a form to some extwnt,,
13349870843,1-3 years,< 3,Always,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,"search is difficult, duplicates","a way to report status, organization",,
13349860986,3-5 years,3~10,Always,Very agree,Neither agree or disagree,Neither agree or disagree,Very agree,Very agree,Very agree,Very agree,Step to reproduce/ CodeSandbox link,Sometimes you are hard to knowing the whole picture and therefore you not sure it would broke some where or not,Native codesandbox / per PR deployment  in GitHub ,,
13349860589,3-5 years,3~10,Sometimes,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Agree,Very agree,,,,,
13349851306,3-5 years,< 3,Often,Very agree,Very agree,Disagree,Agree,Agree,Very disagree,Agree,,,,,
13349847094,1-3 years,< 3,Always,Agree,Agree,Agree,Very agree,Agree,Agree,Very agree,,Sometimes it hard to follow the template for some kinda of issues.,The issue template is a very good system and it great how it is.,,
13349846668,5-10 years,< 3,Always,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,,,,,
13349842019,1-3 years,10~30,Often,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,,Repositories that doesn't have PR template,PR template with only editable fields on values required to complete,,
13349839725,3-5 years,< 3,Always,Agree,Very agree,Agree,Disagree,Very agree,Very agree,Disagree,,,,,
13349835985,5-10 years,< 3,Rarely,Agree,Neither agree or disagree,Disagree,Disagree,Agree,Agree,Agree,"they provide no value to those who know the project and are regular contributors, and some value to first-time contributors. especially issue templates are of highest values for bug reports from technical people who are not software developers.","sometimes they ask too much info than what you know is necessary to the developers, because you have the capability to discern as much as they do, so you just cancel it all out.",i dont care it's alright the way it is,,
13349833422,1-3 years,< 3,Often,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,,,,,
